TIC 500, version 3.230, S/N 831
, , , , W, W, V, V, V, K, , , , ,
4K, 1K, Cryostat, ENTROPY, HOben, HUnten, R1, R2, AIO3, AIO4, DIO, Relays, V1, V2, V3
02.08.2016 13:59:23,0.565594, 0.556054, 125928.6, 3796.448, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, 18.35937, 0.000000
02.08.2016 13:59:34,0.566139, 0.556063, 125890.8, 3803.248, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.768371e-5, 12.50000, 0.000000
02.08.2016 13:59:43,0.566592, 0.556071, 125885.7, 3797.489, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.768371e-5, -13.67187, 0.000000
02.08.2016 13:59:53,0.567102, 0.556080, 125910.2, 3793.228, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, 0.390625, 0.000000
02.08.2016 14:00:03,0.567618, 0.556089, 125747.6, 3788.632, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, -42.96875, 0.000000
02.08.2016 14:00:13,0.568139, 0.556098, 125829.0, 3795.875, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 5.468750, 0.000000
02.08.2016 14:00:23,0.568666, 0.556107, 125967.8, 3790.720, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 36.71875, 0.000000
02.08.2016 14:00:33,0.569198, 0.556117, 125867.3, 3803.565, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -6.640625, 0.000000
02.08.2016 14:00:43,0.569735, 0.556127, 125849.4, 3793.305, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -5.078125, 0.000000
02.08.2016 14:00:54,0.570278, 0.556136, 125869.7, 3804.608, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, 1.562500, 0.000000
02.08.2016 14:01:04,0.570883, 0.556148, 125948.4, 3805.159, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 6.640625, 0.000000
02.08.2016 14:01:13,0.571383, 0.556157, 125853.0, 3804.240, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, 16.01562, 0.000000
02.08.2016 14:01:23,0.571945, 0.556167, 125927.5, 3807.781, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, -16.79687, 0.000000
02.08.2016 14:01:33,0.572513, 0.556179, 125889.9, 3798.584, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, -1.562500, 0.000000
02.08.2016 14:01:43,0.573088, 0.556190, 125813.9, 3805.460, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-5, -13.67187, 0.000000
02.08.2016 14:01:53,0.573669, 0.556201, 125918.3, 3798.321, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, -9.765625, 0.000000
02.08.2016 14:02:03,0.574255, 0.556212, 125915.9, 3804.786, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-5, -30.85937, 0.000000
02.08.2016 14:02:13,0.574846, 0.556224, 125838.6, 3802.574, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-5, 18.75000, 0.000000
02.08.2016 14:02:23,0.575444, 0.556236, 125967.0, 3807.664, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-5, 43.35937, 0.000000
02.08.2016 14:02:33,0.576047, 0.556248, 125845.5, 3797.224, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 6.258487e-5, 3.125000, 0.000000
02.08.2016 14:02:43,0.576657, 0.556262, 125900.6, 3796.698, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-5, 10.54687, 0.000000
